Churn_bin,Partner_bin,Dependents_bin,PhoneService_bin,MultipleLines_bin,OnlineSecurity_bin,OnlineBackup_bin,DeviceProtection_bin,TechSupport_bin,StreamingTV_bin,StreamingMovies_bin,PaperlessBilling_bin,Cuentas_Diarias
0.0,1,1,1,0,0,1,0,1,1,0,1,2.1866666666666665
0.0,0,0,1,1,0,0,0,0,0,1,0,1.9966666666666666
1.0,0,0,1,0,0,0,1,0,0,0,1,2.4633333333333334
1.0,1,0,1,0,0,1,1,0,1,1,1,3.2666666666666666
1.0,1,0,1,0,0,0,0,1,1,0,1,2.796666666666667
0.0,0,1,1,0,0,0,0,1,1,1,1,2.3133333333333335
0.0,1,0,1,0,1,1,1,1,1,1,1,3.6566666666666667
0.0,1,0,1,1,1,0,0,1,0,0,1,2.8216666666666668
0.0,0,0,1,0,1,0,0,0,0,0,1,1.6066666666666667
0.0,1,1,1,1,1,1,1,1,1,1,1,3.015
0.0,0,0,0,0,1,0,0,1,1,0,0,1.5066666666666668
0.0,1,1,1,1,1,1,1,1,1,1,1,3.893333333333333
0.0,1,0,1,0,0,0,0,0,0,0,1,2.2983333333333333
0.0,0,0,1,1,1,1,1,0,1,0,1,3.3766666666666665
0.0,0,0,0,0,1,1,1,1,0,0,0,1.5016666666666665
0.0,1,1,1,1,0,1,1,0,0,1,1,3.191666666666667
0.0,1,1,0,0,1,0,1,1,1,1,0,2.0416666666666665
0.0,0,0,1,1,0,0,0,0,0,0,1,2.4033333333333333
1.0,0,0,1,0,1,0,1,0,0,1,0,2.0900000000000003
1.0,0,0,0,0,0,0,0,0,0,0,1,0.8366666666666667
0.0,1,0,1,1,0,0,0,0,0,0,0,0.84
1.0,1,0,1,1,0,1,1,0,1,0,0,3.1366666666666663
0.0,1,1,1,1,0,0,0,0,1,0,1,2.7916666666666665
0.0,0,0,1,0,0,0,0,0,0,0,0,0.6616666666666667
1.0,1,1,1,0,0,0,0,0,0,0,0,0.6783333333333333
1.0,1,1,0,0,1,0,0,0,0,0,0,1.0166666666666666
0.0,1,1,1,0,0,1,1,1,1,1,1,3.4566666666666666
0.0,1,1,1,0,0,0,0,0,0,0,0,0.6799999999999999
0.0,0,0,1,0,0,0,0,0,0,0,1,0.6533333333333334
0.0,1,1,1,0,0,0,0,0,0,0,0,0.6566666666666666
,0,0,1,1,1,0,0,0,0,0,1,2.6333333333333333
0.0,1,1,1,0,0,0,0,0,1,1,0,3.04
0.0,1,0,1,0,0,0,0,0,0,0,0,0.6816666666666666
0.0,1,0,1,1,1,1,1,1,1,1,0,3.86
0.0,0,0,1,0,0,0,0,0,0,0,0,0.685
0.0,1,1,0,0,1,0,1,1,0,0,1,1.3133333333333332
0.0,0,1,1,1,0,0,0,0,0,0,1,0.8366666666666667
0.0,1,0,1,1,1,0,0,0,1,0,1,2.993333333333333
0.0,1,0,1,1,1,1,0,0,1,0,1,3.158333333333333
0.0,1,1,1,0,0,0,0,0,0,0,0,0.6766666666666666
0.0,1,1,1,1,0,0,0,0,0,0,1,2.525
1.0,0,0,1,0,1,0,0,0,0,0,1,1.6416666666666666
0.0,0,0,1,0,0,1,1,1,1,1,0,2.606666666666667
