customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Cuentas_Diarias
0047-ZHDTW,,Female,0,0,0,11,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),79.0,929.3,2.6333333333333333
0120-YZLQA,,Male,0,0,0,71,1,0,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),19.9,1355.1,0.6633333333333333
0154-QYHJU,,Male,0,0,0,29,1,0,DSL,1,1,0,1,0,0,One year,1,Electronic check,58.75,1696.2,1.9583333333333333
0162-RZGMZ,,Female,1,0,0,5,1,0,DSL,1,1,0,1,0,0,Month-to-month,0,Credit card (automatic),59.9,287.85,1.9966666666666666
0274-VVQOQ,,Male,1,1,0,65,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Bank transfer (automatic),103.15,6792.45,3.4383333333333335
0328-IBUPK,,Female,0,1,1,51,0,0,DSL,1,0,0,1,0,0,Two year,0,Bank transfer (automatic),34.2,1782.0,1.1400000000000001
0448-YZNZE,,Male,1,1,0,27,1,1,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,95.55,2510.2,3.185
0510-EXSMQ,,Female,0,0,0,9,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Electronic check,69.05,651.5,2.3016666666666667
0530-HBKHZ,,Female,1,1,0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,24.8,24.8,0.8266666666666667
0534-JRNIG,,Female,0,0,0,6,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),93.55,536.4,3.118333333333333
0542-YUDZL,,Female,0,1,1,14,1,1,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,25.55,372.45,0.8516666666666667
